SeqSampleID,Population,Line,Rep,PlantingBlock,Tube,Flower,Long_Stamens,Short_Stamens,Elev_m
Ale-4,ALE,4,A,1,74,1,4,2,1229
Ale-4,ALE,4,A,1,74,2,4,2,1229
Ale-4,ALE,4,A,1,199,1,4,2,1229
Ale-4,ALE,4,A,1,199,2,4,2,1229
Ale-4,ALE,4,A,1,259,1,4,2,1229
Ale-4,ALE,4,B,1,53,1,4,2,1229
Ale-4,ALE,4,B,1,53,2,4,2,1229
Ale-4,ALE,4,B,1,105,1,4,2,1229
Ale-4,ALE,4,B,1,105,2,4,2,1229
Ale-4,ALE,4,B,1,200,1,4,2,1229
ALE10,ALE,10,a,3,1,1,4,2,1229
ALE10,ALE,10,a,3,1,2,4,2,1229
ALE10,ALE,10,a,3,1,3,4,2,1229
ALE10,ALE,10,a,3,2,1,4,2,1229
ALE10,ALE,10,a,3,2,2,4,2,1229
ALE10,ALE,10,a,3,2,3,4,2,1229
ALE10,ALE,10,a,3,3,1,4,2,1229
ALE10,ALE,10,a,3,3,2,4,2,1229
ALE10,ALE,10,a,3,3,3,4,2,1229
ALE10,ALE,10,b,3,1,1,4,2,1229
ALE10,ALE,10,b,3,1,2,4,2,1229
ALE10,ALE,10,b,3,1,3,4,2,1229
ALE10,ALE,10,b,3,2,1,4,2,1229
ALE10,ALE,10,b,3,2,2,4,2,1229
ALE10,ALE,10,b,3,2,3,4,2,1229
ALE10,ALE,10,b,3,3,1,4,2,1229
ALE10,ALE,10,b,3,3,2,4,2,1229
ALE10,ALE,10,b,3,3,3,4,2,1229
ALE10,ALE,10,c,3,1,1,4,2,1229
ALE10,ALE,10,c,3,1,2,4,2,1229
ALE10,ALE,10,c,3,1,3,4,2,1229
ALE10,ALE,10,c,3,2,1,4,2,1229
ALE10,ALE,10,c,3,2,2,4,2,1229
ALE10,ALE,10,c,3,2,3,4,2,1229
ALE10,ALE,10,c,3,3,1,4,2,1229
ALE10,ALE,10,c,3,3,2,4,2,1229
ALE10,ALE,10,c,3,3,3,4,2,1229
ALE10,ALE,10,d,3,1,1,4,2,1229
ALE10,ALE,10,d,3,1,2,4,2,1229
ALE10,ALE,10,d,3,1,3,4,2,1229
ALE10,ALE,10,d,3,2,1,4,2,1229
ALE10,ALE,10,d,3,2,2,4,2,1229
ALE10,ALE,10,d,3,2,3,4,2,1229
ALE10,ALE,10,d,3,3,1,4,2,1229
ALE10,ALE,10,d,3,3,2,4,2,1229
ALE10,ALE,10,d,3,3,3,4,2,1229
Ale-12,ALE,12,a,3,1,1,4,2,1229
Ale-12,ALE,12,a,3,1,2,4,2,1229
Ale-12,ALE,12,a,3,1,3,4,2,1229
Ale-12,ALE,12,a,3,2,1,4,2,1229
Ale-12,ALE,12,a,3,2,2,4,2,1229
Ale-12,ALE,12,a,3,2,3,4,2,1229
Ale-12,ALE,12,a,3,3,1,4,2,1229
Ale-12,ALE,12,a,3,3,2,4,2,1229
Ale-12,ALE,12,a,3,3,3,4,2,1229
Ale-12,ALE,12,b,3,1,1,4,2,1229
Ale-12,ALE,12,b,3,1,2,4,2,1229
Ale-12,ALE,12,b,3,1,3,4,2,1229
Ale-12,ALE,12,b,3,2,1,4,2,1229
Ale-12,ALE,12,b,3,2,2,4,2,1229
Ale-12,ALE,12,b,3,2,3,4,2,1229
Ale-12,ALE,12,b,3,3,1,4,2,1229
Ale-12,ALE,12,b,3,3,2,4,2,1229
Ale-12,ALE,12,b,3,3,3,4,2,1229
Ale-12,ALE,12,c,3,1,1,4,2,1229
Ale-12,ALE,12,c,3,1,2,4,2,1229
Ale-12,ALE,12,c,3,1,3,4,2,1229
Ale-12,ALE,12,c,3,2,1,4,2,1229
Ale-12,ALE,12,c,3,2,2,4,2,1229
Ale-12,ALE,12,c,3,2,3,4,2,1229
Ale-12,ALE,12,c,3,3,1,4,1,1229
Ale-12,ALE,12,c,3,3,2,4,2,1229
Ale-12,ALE,12,c,3,3,3,4,2,1229
Ale-12,ALE,12,d,3,1,1,4,2,1229
Ale-12,ALE,12,d,3,1,2,4,2,1229
Ale-12,ALE,12,d,3,1,3,4,2,1229
Ale-12,ALE,12,d,3,2,1,4,2,1229
Ale-12,ALE,12,d,3,2,2,4,2,1229
Ale-12,ALE,12,d,3,2,3,4,2,1229
Ale-12,ALE,12,d,3,3,1,4,2,1229
Ale-12,ALE,12,d,3,3,2,4,2,1229
Ale-12,ALE,12,d,3,3,3,4,2,1229
ALE16,ALE,16,a,3,1,1,4,2,1229
ALE16,ALE,16,a,3,1,2,4,2,1229
ALE16,ALE,16,a,3,1,3,4,2,1229
ALE16,ALE,16,a,3,2,1,4,2,1229
ALE16,ALE,16,a,3,2,2,4,2,1229
ALE16,ALE,16,a,3,2,3,4,2,1229
ALE16,ALE,16,a,3,3,1,4,2,1229
ALE16,ALE,16,a,3,3,2,4,2,1229
ALE16,ALE,16,a,3,3,3,4,2,1229
ALE16,ALE,16,b,3,1,1,4,2,1229
ALE16,ALE,16,b,3,1,2,4,2,1229
ALE16,ALE,16,b,3,1,3,4,2,1229
ALE16,ALE,16,b,3,2,1,4,2,1229
ALE16,ALE,16,b,3,2,2,4,2,1229
ALE16,ALE,16,b,3,2,3,4,2,1229
ALE16,ALE,16,b,3,3,1,4,2,1229
ALE16,ALE,16,b,3,3,2,4,2,1229
ALE16,ALE,16,b,3,3,3,4,2,1229
ALE16,ALE,16,c,3,1,1,4,2,1229
ALE16,ALE,16,c,3,1,2,4,2,1229
ALE16,ALE,16,c,3,1,3,4,2,1229
ALE16,ALE,16,c,3,2,1,4,2,1229
ALE16,ALE,16,c,3,2,2,4,2,1229
ALE16,ALE,16,c,3,2,3,4,2,1229
ALE16,ALE,16,c,3,3,1,4,2,1229
ALE16,ALE,16,c,3,3,2,4,2,1229
ALE16,ALE,16,c,3,3,3,4,2,1229
ALE16,ALE,16,d,3,1,1,4,2,1229
ALE16,ALE,16,d,3,1,2,4,2,1229
ALE16,ALE,16,d,3,1,3,4,2,1229
ALE16,ALE,16,d,3,2,1,4,2,1229
ALE16,ALE,16,d,3,2,2,4,2,1229
ALE16,ALE,16,d,3,2,3,4,2,1229
ALE16,ALE,16,d,3,3,1,4,2,1229
ALE16,ALE,16,d,3,3,2,4,2,1229
ALE16,ALE,16,d,3,3,3,4,2,1229
ARB3,ARU,3,C,2,338,2,4,2,416
ARB3,ARU,3,C,2,357,1,4,2,416
ARB3,ARU,3,C,2,357,2,4,2,416
ARB3,ARU,3,C,2,380,1,4,1,416
ARB3,ARU,3,C,2,380,2,4,1,416
Arb-6,ARU,6,C,2,346,1,4,2,416
Arb-6,ARU,6,C,2,346,2,4,2,416
Arb-6,ARU,6,C,2,366,1,4,2,416
Arb-6,ARU,6,C,2,366,2,4,2,416
Arb-6,ARU,6,C,2,386,1,4,0,416
Arb-6,ARU,6,C,2,386,2,4,0,416
Arb-8,ARU,8,C,2,351,1,4,2,416
Arb-8,ARU,8,C,2,351,2,4,2,416
Arb-8,ARU,8,C,2,371,1,4,0,416
Arb-8,ARU,8,C,2,371,2,4,2,416
Arb-8,ARU,8,C,2,392,1,4,0,416
Arb-8,ARU,8,C,2,392,2,4,2,416
Arb-10,ARU,10,a,3,1,1,4,2,416
Arb-10,ARU,10,a,3,1,2,4,2,416
Arb-10,ARU,10,a,3,1,3,4,2,416
Arb-10,ARU,10,a,3,2,1,4,2,416
Arb-10,ARU,10,a,3,2,2,4,2,416
Arb-10,ARU,10,a,3,2,3,4,2,416
Arb-10,ARU,10,a,3,3,1,4,2,416
Arb-10,ARU,10,a,3,3,2,4,2,416
Arb-10,ARU,10,a,3,3,3,4,2,416
Arb-10,ARU,10,b,3,1,1,4,2,416
Arb-10,ARU,10,b,3,1,2,4,2,416
Arb-10,ARU,10,b,3,1,3,4,2,416
Arb-10,ARU,10,b,3,2,1,4,2,416
Arb-10,ARU,10,b,3,2,2,4,2,416
Arb-10,ARU,10,b,3,2,3,4,2,416
Arb-10,ARU,10,b,3,3,1,4,2,416
Arb-10,ARU,10,b,3,3,2,4,2,416
Arb-10,ARU,10,b,3,3,3,4,2,416
Arb-10,ARU,10,c,3,1,1,4,2,416
Arb-10,ARU,10,c,3,1,2,4,2,416
Arb-10,ARU,10,c,3,1,3,4,2,416
Arb-10,ARU,10,c,3,2,1,4,2,416
Arb-10,ARU,10,c,3,2,2,4,2,416
Arb-10,ARU,10,c,3,2,3,4,2,416
Arb-10,ARU,10,c,3,3,1,4,2,416
Arb-10,ARU,10,c,3,3,2,4,2,416
Arb-10,ARU,10,c,3,3,3,4,2,416
Arb-10,ARU,10,d,3,1,1,4,2,416
Arb-10,ARU,10,d,3,1,2,4,2,416
Arb-10,ARU,10,d,3,1,3,4,2,416
Arb-10,ARU,10,d,3,2,1,4,2,416
Arb-10,ARU,10,d,3,2,2,4,2,416
Arb-10,ARU,10,d,3,2,3,4,2,416
Arb-10,ARU,10,d,3,3,1,4,2,416
Arb-10,ARU,10,d,3,3,2,4,2,416
Arb-10,ARU,10,d,3,3,3,4,2,416
Bar-3,BAR,3,C,2,343,1,4,1,441
Bar-3,BAR,3,C,2,343,2,4,2,441
Bar-3,BAR,3,C,2,364,1,4,2,441
Bar-3,BAR,3,C,2,364,2,4,2,441
Bar-3,BAR,3,C,2,387,1,4,2,441
Bar-3,BAR,3,C,2,387,2,4,2,441
BAR4,BAR,4,A,1,24,1,4,1,441
BAR4,BAR,4,A,1,24,2,4,2,441
BAR4,BAR,4,A,1,55,1,4,2,441
BAR4,BAR,4,A,1,55,2,4,2,441
BAR4,BAR,4,A,1,176,1,4,2,441
BAR4,BAR,4,A,1,238,1,4,2,441
BAR4,BAR,4,A,1,238,2,4,2,441
BAR4,BAR,4,B,1,87,1,4,2,441
BAR4,BAR,4,B,1,87,2,4,2,441
BAR4,BAR,4,B,1,141,1,4,2,441
BAR4,BAR,4,B,1,141,2,4,2,441
BAR4,BAR,4,B,1,222,1,4,1,441
BAR9,BAR,9,a,3,1,1,4,1,441
BAR9,BAR,9,a,3,1,2,4,2,441
BAR9,BAR,9,a,3,1,3,4,2,441
BAR9,BAR,9,a,3,2,1,4,2,441
BAR9,BAR,9,a,3,2,2,4,2,441
BAR9,BAR,9,a,3,2,3,4,2,441
BAR9,BAR,9,a,3,3,1,4,2,441
BAR9,BAR,9,a,3,3,2,4,2,441
BAR9,BAR,9,a,3,3,3,4,2,441
BAR9,BAR,9,b,3,1,1,4,2,441
BAR9,BAR,9,b,3,1,2,4,2,441
BAR9,BAR,9,b,3,1,3,4,2,441
BAR9,BAR,9,b,3,2,1,4,2,441
BAR9,BAR,9,b,3,2,2,4,2,441
BAR9,BAR,9,b,3,2,3,4,2,441
BAR9,BAR,9,b,3,3,1,4,2,441
BAR9,BAR,9,b,3,3,2,4,2,441
BAR9,BAR,9,b,3,3,3,4,2,441
BAR9,BAR,9,c,3,1,1,4,1,441
BAR9,BAR,9,c,3,1,2,4,2,441
BAR9,BAR,9,c,3,1,3,4,2,441
BAR9,BAR,9,c,3,2,1,4,2,441
BAR9,BAR,9,c,3,2,2,4,2,441
BAR9,BAR,9,c,3,2,3,4,2,441
BAR9,BAR,9,c,3,3,1,4,2,441
BAR9,BAR,9,c,3,3,2,4,2,441
BAR9,BAR,9,c,3,3,3,4,2,441
BAR9,BAR,9,d,3,1,1,4,2,441
BAR9,BAR,9,d,3,1,2,4,2,441
BAR9,BAR,9,d,3,1,3,4,2,441
BAR9,BAR,9,d,3,2,1,4,2,441
BAR9,BAR,9,d,3,2,2,4,2,441
BAR9,BAR,9,d,3,2,3,4,2,441
BAR9,BAR,9,d,3,3,1,4,2,441
BAR9,BAR,9,d,3,3,2,4,2,441
BAR9,BAR,9,d,3,3,3,4,2,441
BAR11,BAR,11,A,1,4,1,4,1,441
BAR11,BAR,11,A,1,4,2,4,1,441
BAR11,BAR,11,A,1,45,1,4,2,441
BAR11,BAR,11,A,1,136,1,4,0,441
BAR11,BAR,11,A,1,136,2,4,1,441
BAR11,BAR,11,B,1,91,1,4,2,441
BAR11,BAR,11,B,1,91,2,4,2,441
BAR11,BAR,11,B,1,145,1,4,2,441
BAR11,BAR,11,B,1,145,2,4,2,441
BAR11,BAR,11,B,1,224,1,4,2,441
BAR11,BAR,11,B,1,224,2,4,2,441
BIS8,BIS,8,A,1,197,1,4,2,1444
BIS8,BIS,8,A,1,197,2,4,2,1444
BIS8,BIS,8,A,1,258,1,4,1,1444
BIS8,BIS,8,A,1,258,2,4,2,1444
BIS8,BIS,8,B,1,125,1,4,2,1444
BIS8,BIS,8,B,1,125,2,4,2,1444
BIS8,BIS,8,B,1,248,1,3,1,1444
BIS8,BIS,8,B,1,248,2,4,2,1444
BIS8,BIS,8,B,1,294,1,4,2,1444
BIS8,BIS,8,B,1,294,2,4,2,1444
BIS11,BIS,11,A,1,191,1,4,1,1444
BIS11,BIS,11,A,1,191,2,4,2,1444
BIS11,BIS,11,B,1,63,1,4,1,1444
BIS11,BIS,11,B,1,63,2,4,2,1444
BIS11,BIS,11,B,1,175,1,4,2,1444
BIS11,BIS,11,B,1,237,1,4,2,1444
BIS11,BIS,11,B,1,237,2,4,2,1444
BIS16,BIS,16,a,3,1,1,4,2,1444
BIS16,BIS,16,a,3,1,2,4,2,1444
BIS16,BIS,16,a,3,1,3,4,2,1444
BIS16,BIS,16,a,3,2,1,4,2,1444
BIS16,BIS,16,a,3,2,2,4,2,1444
BIS16,BIS,16,a,3,2,3,4,2,1444
BIS16,BIS,16,a,3,3,1,4,2,1444
BIS16,BIS,16,a,3,3,2,4,2,1444
BIS16,BIS,16,a,3,3,3,4,2,1444
BIS16,BIS,16,b,3,1,1,4,2,1444
BIS16,BIS,16,b,3,1,2,4,2,1444
BIS16,BIS,16,b,3,1,3,4,2,1444
BIS16,BIS,16,b,3,2,1,4,2,1444
BIS16,BIS,16,b,3,2,2,4,2,1444
BIS16,BIS,16,b,3,2,3,4,2,1444
BIS16,BIS,16,b,3,3,1,4,2,1444
BIS16,BIS,16,b,3,3,2,4,2,1444
BIS16,BIS,16,b,3,3,3,4,2,1444
BIS16,BIS,16,c,3,1,1,4,2,1444
BIS16,BIS,16,c,3,1,2,4,2,1444
BIS16,BIS,16,c,3,1,3,4,2,1444
BIS16,BIS,16,c,3,2,1,4,2,1444
BIS16,BIS,16,c,3,2,2,4,2,1444
BIS16,BIS,16,c,3,2,3,4,2,1444
BIS16,BIS,16,c,3,3,1,4,2,1444
BIS16,BIS,16,c,3,3,2,4,2,1444
BIS16,BIS,16,c,3,3,3,4,2,1444
BIS20,BIS,20,a,3,1,1,4,2,1444
BIS20,BIS,20,a,3,1,2,4,1,1444
BIS20,BIS,20,a,3,1,3,4,2,1444
BIS20,BIS,20,a,3,2,1,4,2,1444
BIS20,BIS,20,a,3,2,2,4,2,1444
BIS20,BIS,20,a,3,2,3,4,2,1444
BIS20,BIS,20,a,3,3,1,4,2,1444
BIS20,BIS,20,a,3,3,2,4,2,1444
BIS20,BIS,20,a,3,3,3,4,2,1444
BIS20,BIS,20,b,3,1,1,4,2,1444
BIS20,BIS,20,b,3,1,2,4,2,1444
BIS20,BIS,20,b,3,1,3,4,2,1444
BIS20,BIS,20,b,3,2,1,4,2,1444
BIS20,BIS,20,b,3,2,2,4,2,1444
BIS20,BIS,20,b,3,2,3,4,2,1444
BIS20,BIS,20,b,3,3,1,4,2,1444
BIS20,BIS,20,b,3,3,2,4,2,1444
BIS20,BIS,20,b,3,3,3,4,2,1444
BIS20,BIS,20,c,3,1,1,4,2,1444
BIS20,BIS,20,c,3,1,2,4,2,1444
BIS20,BIS,20,c,3,1,3,3,2,1444
BIS20,BIS,20,c,3,2,1,4,2,1444
BIS20,BIS,20,c,3,2,2,4,2,1444
BIS20,BIS,20,c,3,2,3,4,2,1444
BIS20,BIS,20,c,3,3,1,4,2,1444
BIS20,BIS,20,c,3,3,2,4,2,1444
BIS20,BIS,20,c,3,3,3,4,2,1444
BIS20,BIS,20,d,3,1,1,4,1,1444
BIS20,BIS,20,d,3,1,2,4,2,1444
BIS20,BIS,20,d,3,1,3,4,1,1444
BIS20,BIS,20,d,3,2,1,4,2,1444
BIS20,BIS,20,d,3,2,2,4,2,1444
BIS20,BIS,20,d,3,2,3,4,2,1444
BIS20,BIS,20,d,3,3,1,4,2,1444
BIS20,BIS,20,d,3,3,2,4,2,1444
BIS20,BIS,20,d,3,3,3,4,2,1444
BOS5,BOS,5,B,1,8,1,4,2,715
BOS5,BOS,5,B,1,8,2,4,2,715
BOS5,BOS,5,B,1,34,1,4,2,715
BOS5,BOS,5,B,1,34,2,4,2,715
BOS5,BOS,5,B,1,169,1,4,1,715
BOS5,BOS,5,C,2,316,1,4,0,715
BOS5,BOS,5,C,2,316,2,4,0,715
BOS5,BOS,5,C,2,322,1,4,0,715
BOS5,BOS,5,C,2,322,2,4,0,715
BOS5,BOS,5,C,2,335,1,4,2,715
BOS5,BOS,5,C,2,335,2,4,2,715
Bos-6,BOS,6,A,1,18,1,4,2,715
Bos-6,BOS,6,A,1,18,2,4,2,715
Bos-6,BOS,6,A,1,39,1,4,1,715
Bos-6,BOS,6,A,1,39,2,4,2,715
Bos-6,BOS,6,A,1,123,1,4,1,715
Bos-6,BOS,6,A,1,123,2,4,2,715
Bos-6,BOS,6,A,1,123,3,4,2,715
Bos-6,BOS,6,C,2,313,1,4,1,715
Bos-6,BOS,6,C,2,313,2,4,1,715
Bos-6,BOS,6,C,2,320,1,4,1,715
Bos-6,BOS,6,C,2,320,2,4,2,715
Bos-6,BOS,6,C,2,332,1,4,1,715
Bos-6,BOS,6,C,2,332,2,4,2,715
Bos-9,BOS,9,A,1,6,1,4,1,715
Bos-9,BOS,9,A,1,6,2,4,2,715
Bos-9,BOS,9,A,1,32,1,4,0,715
Bos-9,BOS,9,A,1,32,2,4,2,715
Bos-9,BOS,9,A,1,156,1,4,2,715
Bos-9,BOS,9,A,1,156,2,4,2,715
Bos-9,BOS,9,B,1,99,1,4,1,715
Bos-9,BOS,9,B,1,99,2,4,2,715
Bos-9,BOS,9,B,1,189,1,4,2,715
Bos-10,BOS,10,B,1,36,1,4,0,715
Bos-10,BOS,10,B,1,36,2,4,2,715
Bos-10,BOS,10,B,1,157,1,4,1,715
Bos-10,BOS,10,B,1,157,2,4,2,715
Bos-10,BOS,10,B,1,229,1,4,2,715
Bos-10,BOS,10,B,1,229,2,4,2,715
Bos-10,BOS,10,C,2,318,1,4,0,715
Bos-10,BOS,10,C,2,318,2,4,0,715
Bos-10,BOS,10,C,2,324,1,4,0,715
Bos-10,BOS,10,C,2,324,2,4,0,715
Bos-10,BOS,10,C,2,326,1,4,0,715
Bos-10,BOS,10,C,2,326,2,4,2,715
COC14,COC,14,a,3,1,1,4,2,519
COC14,COC,14,a,3,1,2,4,2,519
COC14,COC,14,a,3,1,3,4,2,519
COC14,COC,14,a,3,2,1,4,2,519
COC14,COC,14,a,3,2,2,4,2,519
COC14,COC,14,a,3,2,3,4,1,519
COC14,COC,14,a,3,3,1,4,2,519
COC14,COC,14,a,3,3,2,4,2,519
COC14,COC,14,a,3,3,3,4,1,519
COC14,COC,14,b,3,1,1,4,2,519
COC14,COC,14,b,3,1,2,4,2,519
COC14,COC,14,b,3,1,3,4,2,519
COC14,COC,14,b,3,2,1,4,2,519
COC14,COC,14,b,3,2,2,4,2,519
COC14,COC,14,b,3,2,3,4,2,519
COC14,COC,14,b,3,3,1,4,1,519
COC14,COC,14,b,3,3,2,4,2,519
COC14,COC,14,b,3,3,3,4,2,519
COC14,COC,14,c,3,1,1,4,2,519
COC14,COC,14,c,3,1,2,4,2,519
COC14,COC,14,c,3,1,3,4,2,519
COC14,COC,14,c,3,2,1,4,2,519
COC14,COC,14,c,3,2,2,4,2,519
COC14,COC,14,c,3,2,3,4,2,519
COC14,COC,14,c,3,3,1,4,2,519
COC14,COC,14,c,3,3,2,4,2,519
COC14,COC,14,c,3,3,3,4,2,519
COC14,COC,14,d,3,1,1,4,2,519
COC14,COC,14,d,3,1,2,4,2,519
COC14,COC,14,d,3,1,3,4,2,519
COC14,COC,14,d,3,2,1,4,2,519
COC14,COC,14,d,3,2,2,4,2,519
COC14,COC,14,d,3,2,3,4,1,519
COC14,COC,14,d,3,3,1,4,2,519
COC14,COC,14,d,3,3,2,4,1,519
COC14,COC,14,d,3,3,3,4,2,519
COC17,COC,17,a,3,1,1,4,2,519
COC17,COC,17,a,3,1,2,4,2,519
COC17,COC,17,a,3,1,3,4,2,519
COC17,COC,17,a,3,2,1,4,2,519
COC17,COC,17,a,3,2,2,4,2,519
COC17,COC,17,a,3,2,3,4,2,519
COC17,COC,17,a,3,3,1,4,2,519
COC17,COC,17,a,3,3,2,4,2,519
COC17,COC,17,a,3,3,3,4,2,519
COC17,COC,17,b,3,1,1,4,2,519
COC17,COC,17,b,3,1,2,4,2,519
COC17,COC,17,b,3,1,3,4,2,519
COC17,COC,17,b,3,2,1,4,2,519
COC17,COC,17,b,3,2,2,4,2,519
COC17,COC,17,b,3,2,3,4,2,519
COC17,COC,17,b,3,3,1,4,2,519
COC17,COC,17,b,3,3,2,4,2,519
COC17,COC,17,b,3,3,3,4,2,519
COC17,COC,17,d,3,1,1,4,2,519
COC17,COC,17,d,3,1,2,4,2,519
COC17,COC,17,d,3,1,3,4,2,519
COC17,COC,17,d,3,2,1,4,2,519
COC17,COC,17,d,3,2,2,4,2,519
COC17,COC,17,d,3,2,3,4,2,519
COC17,COC,17,d,3,3,1,4,2,519
COC17,COC,17,d,3,3,2,4,2,519
COC17,COC,17,d,3,3,3,4,2,519
Coc-19,COC,19,a,3,1,1,4,2,519
Coc-19,COC,19,a,3,1,2,4,2,519
Coc-19,COC,19,a,3,1,3,4,2,519
Coc-19,COC,19,a,3,2,1,4,2,519
Coc-19,COC,19,a,3,2,2,4,2,519
Coc-19,COC,19,a,3,2,3,4,2,519
Coc-19,COC,19,a,3,3,1,4,2,519
Coc-19,COC,19,a,3,3,2,4,2,519
Coc-19,COC,19,a,3,3,3,4,2,519
Coc-19,COC,19,b,3,1,1,4,2,519
Coc-19,COC,19,b,3,1,2,4,2,519
Coc-19,COC,19,b,3,1,3,4,1,519
Coc-19,COC,19,b,3,2,1,4,2,519
Coc-19,COC,19,b,3,2,2,4,2,519
Coc-19,COC,19,b,3,2,3,4,2,519
Coc-19,COC,19,b,3,3,1,4,2,519
Coc-19,COC,19,b,3,3,2,4,2,519
Coc-19,COC,19,b,3,3,3,4,2,519
Coc-19,COC,19,c,3,1,1,4,2,519
Coc-19,COC,19,c,3,1,2,4,2,519
Coc-19,COC,19,c,3,1,3,4,1,519
Coc-19,COC,19,c,3,2,1,4,2,519
Coc-19,COC,19,c,3,2,2,4,2,519
Coc-19,COC,19,c,3,2,3,4,1,519
Coc-19,COC,19,c,3,3,1,4,2,519
Coc-19,COC,19,c,3,3,2,4,2,519
Coc-19,COC,19,c,3,3,3,4,2,519
Coc-19,COC,19,d,3,1,1,4,2,519
Coc-19,COC,19,d,3,1,2,4,2,519
Coc-19,COC,19,d,3,1,3,4,2,519
Coc-19,COC,19,d,3,2,1,4,2,519
Coc-19,COC,19,d,3,2,2,4,2,519
Coc-19,COC,19,d,3,2,3,4,2,519
Coc-19,COC,19,d,3,3,1,4,2,519
Coc-19,COC,19,d,3,3,2,4,2,519
Coc-19,COC,19,d,3,3,3,4,2,519
Hor-4,HOR,4,A,1,134,1,4,2,413
Hor-4,HOR,4,A,1,134,2,4,2,413
Hor-4,HOR,4,B,1,66,1,4,2,413
Hor-4,HOR,4,B,1,66,2,4,2,413
Hor-4,HOR,4,B,1,182,1,4,2,413
Hor-4,HOR,4,B,1,242,1,4,2,413
Hor-4,HOR,4,B,1,242,2,4,2,413
Hor-6,HOR,6,A,1,80,1,4,1,413
Hor-6,HOR,6,A,1,80,2,4,1,413
Hor-6,HOR,6,A,1,165,1,4,2,413
Hor-6,HOR,6,A,1,165,2,4,2,413
Hor-6,HOR,6,B,1,90,1,4,1,413
Hor-6,HOR,6,B,1,90,2,4,2,413
Hor-7,HOR,7,a,3,1,1,4,2,413
Hor-7,HOR,7,a,3,1,2,4,2,413
Hor-7,HOR,7,a,3,1,3,4,2,413
Hor-7,HOR,7,a,3,2,1,4,2,413
Hor-7,HOR,7,a,3,2,2,4,2,413
Hor-7,HOR,7,a,3,2,3,4,2,413
Hor-7,HOR,7,a,3,3,1,4,2,413
